id,gender,usia,negara,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10
P01,Perempuan,20,PH,4,3,5,1,4,3,5,4,5,4
P02,Perempuan,19,Trinidad and Tobago,4,5,4,5,2,2,1,1,4,1
P03,Laki-laki ,27,SG ,5,3,4,2,3,3,3,3,3,4
P03,Laki-laki ,27,SG ,5,3,4,2,3,3,3,3,3,4
P04,perempuan,19,CA,1,3,4,3,5,2,3,3,3,1
P05,Perempuan,28,  US,4,2,4,2,3,3,4,3,3,3
P06,Perempuan,27,Pakistan,4,1,5,4,4,5,4,2,5,3
P07,Laki-laki,23,Greece,4,3,5,4,4,4,6,4,5,4
P08,Perempuan,21,US,4,2,5,4,3,4,2,3,4,2
P09,Perempuan,19,,5,3,5,3,2,3,4,2,3,2
P10,PEREMPUAN,21,DK,4,3,4,2,3,5,3,3,3,4
P11,Perempuan,21,Bangladesh,5,3,5,3,5,5,4,5,4,4
P12,Perempuan,31,United Kingdom,3,2,5,NA,3,3,2,2,3,4
P13,Laki-Laki,25,GB,3,5,5,2,5,1,4,4,1,2
P14,Perempuan,36,Jamaica,1,3,5,3,1,2,1,,,
P15,Perempuan,33,South Africa,4,4,0,3,4,5,5,2,5,2
P16,Laki-laki,23,US,1,4,2,4,1,1,1,1,2,2
P17,Laki-laki,40,IN,4,5,4,4,1,1,1,1,2,1
